ID,Protocolo,Motivo,Fecha Toma Muestra,Semana Epidemiologica,"Rup
Toma
Muestra",Región ,Especie,Categoria,N° animal muestreado,Total Muestras,RT-PCR Tiempo Real IA Matrix A +,RT-PCR Tiempo Real IA Matrix A -,Secuenciación,Clasificación,Coordenada X,Coordenada y,Huso,lat,lon,calidad_coordenada
3,226618,Denuncia,12/5/2022,49,15.1.01.0701,Arica,Pelícano,Aves Silvestres,1,2,2,,H5N1,Positivo,360449,7962941,19,-18.4190673318086,-70.321289355346,ok
4,226665,Vigilancia,12/5/2022,49,02.1.01.0087,Antofagasta,Pelícano,Aves Silvestres,1,1,1,,H5N1,Positivo,349245,7403802,19,-23.4688650060092,-70.4760811226554,ok
5,226666,Denuncia,12/5/2022,49,02.1.02.0085,Antofagasta,Pelícano,Aves Silvestres,2,4,2,2,H5N1,Positivo,354443,7399851,19,-23.5050162334623,-70.4255821954826,ok
7,226924,Denuncia,12/6/2022,49,15.1.01.0701,Arica,Pelícano,Aves Silvestres,2,2,2,,,Positivo,360449,7962941,19,-18.4190673318086,-70.321289355346,ok
8,226955,Denuncia,12/6/2022,49,02.1.02.0073,Antofagasta,Pelícano,Aves Silvestres,4,4,4,,H5N1,Positivo,351862,7444932,19,-23.097692371679,-70.4464452841091,ok
9,226958,Vigilancia,12/6/2022,49,02.1.01.0086,Antofagasta,Pelícano,Aves Silvestres,2,2,2,,H5N1,Positivo,354443,7399851,19,-23.5050162334623,-70.4255821954826,ok
15,227079,Denuncia,12/7/2022,49,15.1.01.0995,Arica,Piquero,Aves Silvestres,1,2,2,,H5N1,Positivo,358950,7926315,19,-18.7499065022549,-70.3380602544461,ok
16,227087,Denuncia,12/7/2022,49,15.1.02.0124,Arica,Pelícano,Aves Silvestres,2,2,2,,H5N1,Positivo,366497,7877562,19,-19.1909119752423,-70.2698115581733,ok
21,227423,Vigilancia,12/10/2022,49,02.1.01.0085,Antofagasta,Piquero,Aves Silvestres,1,2,2,,H5N1,Positivo,354423,7400134,19,-23.5024589343203,-70.4257505226128,ok
23,227428,Vigilancia,12/10/2022,49,02.1.02.0025,Antofagasta,Piquero,Aves Silvestres,1,2,2,,H5N1,Positivo,367746,7465156,19,-22.9163914561839,-70.2896461288469,ok
25,227436,Vigilancia,12/9/2022,49,01.1.01.0055,Tarapacá,Pelícano,Aves Silvestres,1,2,2,,,Positivo,380470,7751434,19,-20.3313662334184,-70.1450341197188,ok
27,227442,Vigilancia,12/9/2022,49,01.1.01.0056,Tarapacá,Pelícano,Aves Silvestres,5,1,1,,,Positivo,378796,7807258,19,-19.82690468691,-70.1573592318655,ok
28,227484,Vigilancia,12/11/2022,49,01.1.01.0055,Tarapacá,Gaviota Garuma,Aves Silvestres,1,2,2,,H5N1,Positivo,380470,7751434,19,-20.3313662334184,-70.1450341197188,ok
30,227515,Vigilancia,12/9/2022,49,15.1.01.0701,Arica,Gaviota Garuma,Aves Silvestres,1,1,1,,H5N1,Positivo,360449,7962941,19,-18.4190673318086,-70.321289355346,ok
31,227515,Vigilancia,12/9/2022,49,15.1.01.0701,Arica,Piquero,Aves Silvestres,1,1,1,,H5N1,Positivo,360449,7962941,19,-18.4190673318086,-70.321289355346,ok
33,227519,Vigilancia,12/12/2022,50,15.1.01.0997,Arica,Gaviotín monja,Aves Silvestres,1,2,2,,H5N1,Positivo,360276,7957367,19,-18.4694214734422,-70.3233126577567,ok
38,227826,Denuncia,12/13/2022,50,03.1.02.0061,Atacama,Pelícano,Aves Silvestres,1,2,2,,,Positivo,316457,7000157,19,-27.1088485397476,-70.8515450337451,ok
41,227837,Vigilancia,12/13/2022,50,01.1.01.0058,Tarapacá,Lile,Aves Silvestres,1,1,1,,,Positivo,383607,7665247,19,-21.1101922351037,-70.1207013790457,ok
44,227840,Vigilancia,12/13/2022,50,01.1.01.0036,Tarapacá,Huairavo,Aves Silvestres,1,2,2,,H5N1,Positivo,380999,7760555,19,-20.2489948168741,-70.1393648218202,ok
45,227842,Vigilancia,12/13/2022,50,01.1.01.0059,Tarapacá,Rayador,Aves Silvestres,1,2,1,1,,Positivo,380771,7765756,19,-20.2019913818152,-70.1412045753635,ok
61,228227,Vigilancia,12/14/2022,50,15.1.02.0124,Arica,Gaviota Garuma,Aves Silvestres,1,2,2,,,Positivo,366497,7877562,19,-19.1909119752423,-70.2698115581733,ok
63,228244,Vigilancia,12/16/2022,50,02.1.01.0090,Antofagasta,Pelícano,Aves Silvestres,3,8,7,1,,Positivo,354421,7400038,19,-23.5033256407445,-70.4257794356319,ok
64,228245,Vigilancia,12/15/2022,50,02.1.02.0046,Antofagasta,Jote de cabeza colorada ,Aves Silvestres,4,4,3,1,,Positivo,367992,7486224,19,-22.7261381656459,-70.2854601272009,ok
65,228245,Vigilancia,12/15/2022,50,02.1.02.0046,Antofagasta,Piquero,Aves Silvestres,1,2,2,,,Positivo,367992,7486224,19,-22.7261381656459,-70.2854601272009,ok
66,228246,Vigilancia,12/15/2022,50,02.3.01.0019,Antofagasta,Pelícano,Aves Silvestres,1,2,2,,,Positivo,377030,7557473,19,-22.083290313745,-70.1919643600918,ok
67,228252,Vigilancia,12/17/2022,50,02.1.01.0088,Antofagasta,Jote de cabeza colorada ,Aves Silvestres,1,2,2,,,Positivo,357488,7384657,19,-23.6424894984028,-70.3972177358662,ok
68,228255,Vigilancia,12/17/2022,50,02.1.04.0058,Antofagasta,Pelícano,Aves Silvestres,1,2,2,,,Positivo,350331,7189151,19,-25.4069955688909,-70.488030303299,ok
71,228261,Vigilancia,12/17/2022,50,01.1.01.0069,Tarapacá,Piquero,Aves Silvestres,1,2,1,1,H5N1,Positivo,382032,7756232,19,-20.2881155621754,-70.1297586218993,ok
72,228272,Denuncia,12/18/2022,50,02.1.04.0059,Antofagasta,Pelícano,Aves Silvestres,1,2,2,,,Positivo,350386,7189055,19,-25.4078677453137,-70.4874942626616,ok
74,228318,Vigilancia,12/16/2022,50,02.1.01.0088,Antofagasta,Pelícano,Aves Silvestres,1,2,2,,,Positivo,357488,7384657,19,-23.6424894984028,-70.3972177358662,ok
75,228318,Vigilancia,12/16/2022,50,02.1.01.0088,Antofagasta,Piquero,Aves Silvestres,1,2,1,1,,Positivo,357488,7384657,19,-23.6424894984028,-70.3972177358662,ok
85,228440,Vigilancia,12/19/2022,51,01.1.01.0073,Tarapacá,Jote de cabeza colorada ,Aves Silvestres,1,2,2,,,Positivo,379592,7761943,19,-20.2363667736468,-70.1527414816739,ok
86,228444,Denuncia,12/19/2022,51,03.1.02.0062,Atacama,Pelícano,Aves Silvestres,1,2,2,,,Positivo,322300,7011883,19,-27.0037964120025,-70.7909439182017,ok
90,228525,Vigilancia,12/19/2022,51,02.1.02.0059,Antofagasta,Gaviota Peruana,Aves Silvestres,1,2,2,,,Positivo,356484,7446743,19,-23.0817449130095,-70.4011562789299,ok
94,228576,Vigilancia,12/20/2022,51,02.1.01.0088,Antofagasta,Jote de cabeza colorada ,Aves Silvestres,3,6,4,2,,Positivo,357488,7384657,19,-23.6424894984028,-70.3972177358662,ok
95,228579,Vigilancia,12/19/2022,51,15.1.01.0996,Arica,Jote de cabeza colorada ,Aves Silvestres,1,2,2,,,Positivo,362700,7959016,19,-18.4546802311568,-70.3002473477527,ok
103,228705,Vigilancia,12/20/2022,51,02.1.02.0071,Antofagasta,Huairavo,Aves Silvestres,1,2,2,,,Positivo,355485,7446108,19,-23.0873925316137,-70.4109671648603,ok
104,228705,Vigilancia,12/20/2022,51,02.1.02.0071,Antofagasta,Jote de cabeza colorada ,Aves Silvestres,1,2,2,,,Positivo,355485,7446108,19,-23.0873925316137,-70.4109671648603,ok
113,228833,Vigilancia,12/21/2022,51,02.1.02.0046,Antofagasta,Pelícano,Aves Silvestres,1,2,2,,,Positivo,367992,7486224,19,-22.7261381656459,-70.2854601272009,ok
114,228853,Denuncia,12/21/2022,51,03.2.01.0010,Atacama,Pelícano,Aves Silvestres,3,2,2,,,Positivo,332542,7060632,19,-26.5651134829284,-70.6812607997425,ok
126,229051,Vigilancia,12/23/2022,51,01.2.03.0315,Tarapacá,Pelícano,Aves Silvestres,1,1,1,,,Positivo,373673,7834300,19,-19.58225696321,-70.2044399153893,ok
127,229061,Vigilancia,12/22/2022,51,02.1.04.0060,Antofagasta,Pelícano,Aves Silvestres,1,2,2,,,Positivo,350627,7229454,19,-25.0431787059532,-70.4806752950968,ok
137,229133,Vigilancia,12/23/2022,51,01.1.01.0069,Tarapacá,Gaviotín elegante,Aves Silvestres,1,2,2,,,Positivo,382032,7756232,19,-20.2881155621754,-70.1297586218993,ok
138,229133,Vigilancia,12/23/2022,51,01.1.01.0069,Tarapacá,Gaviota Garuma,Aves Silvestres,1,2,1,1,,Positivo,382032,7756232,19,-20.2881155621754,-70.1297586218993,ok
147,229293,Denuncia,12/25/2022,51,04.1.01.0524,Coquimbo,Pelícano,Aves Silvestres,1,2,2,,,Positivo,280010,6687219,19,-29.9261088006467,-71.2789349266658,ok
